AMDewptCalPl,ScenRelAMIns,CombMoisture,SynForcng,WindFieldPln,ScenRel3_4,R5Fcst,ScnRelPlFcst,RaoContMoist,CapChange,CombClouds,AMInstabMt,MvmtFeatures,PlainsFcst,WindAloft,LowLLapse,Boundaries,InsSclInScen,AreaMoDryAir,AreaMeso_ALS,SubjVertMo,N34StarFcst,MorningBound,MountainFcst,CapInScen,ScenRelAMCIN,InsInMt,MeanRH,SfcWndShfDis,IRCloudCover,TempDis,VISCloudCov,InsChange,SatContMoist,QGVertMotion,CombVerMo,WndHodograph,MidLLapse,CompPlFcst,LLIW,Date,LIfr12ZDENSd,N0_7muVerMo,MorningCIN,CldShadeConv,LatestCIN,RHRatio,LoLevMoistAd,AMInsWliScen,OutflowFrMt,Dewpoints,CldShadeOth,WindFieldMt,CurPropConv,AMCINInScen,Scenario
Neutral,CDEJ,Wet,NegToPos,SEQuad,D,SIG,D,Neutral,Decreasing,PC,Strong,NoMajor,XNIL,SWQuad,Steep,Strong,Average,VeryWet,Neutral,Neutral,XNIL,Weak,SIG,LessThanAve,CThruK,Strong,Dry,Other,PC,QStationary,Clear,Decreasing,Dry,Neutral,Neutral,DCVZFavor,Steep,DecCapIncIns,Weak,May15_Jun14,N1GtLIGt_4,WeakUp,PartInhibit,Some,None,Other,Negative,MoreUnstable,Weak,Other,PC,LVorOther,Slight,LessThanAve,D
Instability,CDEJ,Wet,SigNegative,WidespdDnsl,D,SVR,D,VeryWet,LittleChange,Clear,Weak,MarkedUpper,XNIL,NWQuad,Steep,Weak,LessUnstable,VeryWet,WeakUp,Neutral,XNIL,None,SVR,Average,CThruK,Strong,Dry,DryLine,Clear,None,PC,Decreasing,Wet,Neutral,WeakUp,Westerly,ModerateOrLe,LittleChange,Weak,Aug20_Sep15,N1GtLIGt_4,WeakUp,PartInhibit,Marked,PartInhibit,DryMMoistL,Negative,Average,Strong,LowSHighN,PC,Westerly,Slight,Average,D
Stability,CDEJ,Neutral,SigNegative,E_NE,D,SIG,D,Dry,Decreasing,Cloudy,Strong,MarkedUpper,XNIL,NWQuad,CloseToDryAd,Strong,LessUnstable,Wet,WeakUp,Neutral,XNIL,Strong,SIG,LessThanAve,CThruK,Strong,Average,DenvCyclone,Cloudy,Other,PC,Decreasing,Neutral,StrongUp,WeakUp,Westerly,Steep,DecCapIncIns,Weak,May15_Jun14,N1GtLIGt_4,Neutral,PartInhibit,None,PartInhibit,Other,Negative,LessUnstable,Weak,LowMtsHighPl,Cloudy,Westerly,Slight,Average,D
Neutral,K,Wet,SigNegative,LongAnticyc,ACEFK,SIG,K,Neutral,Increasing,PC,Strong,StrongFront,XNIL,NWQuad,Stable,None,MoreUnstable,Neutral,Neutral,Neutral,XNIL,Weak,SIG,MoreThanAve,CThruK,Strong,Average,MovingFtorOt,PC,None,PC,Increasing,Wet,Down,Neutral,Other,Steep,IncCapDecIns,Moderate,Aug20_Sep15,N1GtLIGt_4,Down,Stifling,Some,PartInhibit,DryMMoistL,Neutral,MoreUnstable,None,Other,PC,Westerly,Slight,Average,K
Instability,CDEJ,Wet,SigPositive,WidespdDnsl,ACEFK,SVR,E,Wet,Decreasing,Clear,Strong,NoMajor,SVR,SWQuad,CloseToDryAd,Strong,Average,VeryWet,Neutral,Neutral,SVR,None,SVR,LessThanAve,CThruK,Strong,Average,DryLine,Clear,None,PC,Decreasing,Neutral,Neutral,Neutral,DCVZFavor,Steep,DecCapIncIns,Strong,Jul16_Aug10,N1GtLIGt_4,WeakUp,None,Marked,PartInhibit,Other,Negative,MoreUnstable,Strong,LowNHighS,Clear,LVorOther,Slight,LessThanAve,E
Neutral,CDEJ,Wet,NegToPos,LongAnticyc,ACEFK,SVR,E,Wet,Increasing,Cloudy,Strong,NoMajor,XNIL,SWQuad,ModerateOrLe,None,MoreUnstable,Neutral,Down,Neutral,XNIL,None,SVR,MoreThanAve,CThruK,Strong,Dry,Other,Cloudy,None,Cloudy,Increasing,Wet,Down,Down,DCVZFavor,ModerateOrLe,IncCapDecIns,Weak,Jul16_Aug10,LIGt0,WeakUp,PartInhibit,Some,None,MoistMDryL,StrongPos,MoreUnstable,Weak,LowAtStation,Cloudy,Westerly,Slight,Average,E
Instability,G,Neutral,SigNegative,LV,GJ,SVR,G,Neutral,Decreasing,Clear,Strong,MarkedUpper,SIG,SWQuad,CloseToDryAd,Weak,LessUnstable,Dry,WeakUp,WeakUp,SIG,None,SVR,LessThanAve,CThruK,Strong,Dry,E_W_N,Clear,None,Clear,Decreasing,Neutral,WeakUp,WeakUp,Westerly,CloseToDryAd,DecCapIncIns,Weak,Jul2_Jul15,N1GtLIGt_4,StrongUp,Stifling,Marked,Stifling,Other,Negative,MoreUnstable,Weak,LowSHighN,Clear,Westerly,Slight,MoreThanAve,G
Neutral,G,Wet,LittleChange,WidespdDnsl,GJ,SIG,G,Neutral,Increasing,PC,Weak,MarkedUpper,SIG,LV,CloseToDryAd,Strong,MoreUnstable,VeryWet,WeakUp,StronUp,SIG,Strong,SIG,MoreThanAve,CThruK,Strong,Dry,Other,PC,None,PC,Increasing,Neutral,Neutral,WeakUp,StrongWest,CloseToDryAd,IncCapDecIns,Weak,Aug11_Aug20,N1GtLIGt_4,Neutral,Stifling,Marked,PartInhibit,MoistMDryL,Neutral,Average,None,LowAtStation,PC,Westerly,Slight,Average,G
Instability,CDEJ,VeryWet,NegToPos,LongAnticyc,D,SIG,D,Dry,LittleChange,PC,None,NoMajor,SIG,SWQuad,Steep,Weak,MoreUnstable,Wet,Neutral,StronUp,SIG,Strong,SIG,LessThanAve,CThruK,Weak,Dry,None,PC,Moving,PC,Decreasing,Wet,WeakUp,Neutral,DCVZFavor,Steep,LittleChange,Moderate,Jul16_Aug10,N1GtLIGt_4,Down,PartInhibit,None,None,DryMMoistL,Negative,MoreUnstable,Strong,LowAtStation,PC,LVorOther,Strong,LessThanAve,D
Instability,G,Dry,SigNegative,LongAnticyc,GJ,XNIL,G,Dry,LittleChange,PC,None,StrongFront,XNIL,LV,CloseToDryAd,None,MoreUnstable,Neutral,StrongUp,StronUp,XNIL,None,XNIL,MoreThanAve,CThruK,None,Dry,None,PC,None,PC,LittleChange,VeryWet,Neutral,StrongUp,StrongWest,CloseToDryAd,LittleChange,Strong,Jun15_Jul1,N5GtLIGt_8,StrongUp,PartInhibit,None,PartInhibit,MoistMDryL,WeakPos,MoreUnstable,None,Other,PC,Westerly,Slight,Average,G
Neutral,CDEJ,Neutral,LittleChange,LV,GJ,SIG,J,Neutral,Decreasing,Clear,None,StrongFront,SIG,LV,Steep,Weak,MoreUnstable,Wet,StrongUp,Neutral,SIG,Strong,XNIL,LessThanAve,CThruK,Weak,Dry,DryLine,Clear,Other,PC,Increasing,Neutral,Neutral,StrongUp,DCVZFavor,Steep,DecCapIncIns,Moderate,Jul16_Aug10,N1GtLIGt_4,StrongUp,PartInhibit,None,None,MoistMDryL,StrongPos,LessUnstable,Weak,LowAtStation,Clear,LVorOther,Strong,LessThanAve,J
Neutral,ABI,Neutral,PosToNeg,E_NE,B,SIG,B,Wet,Increasing,PC,None,NoMajor,SIG,NWQuad,Steep,Weak,LessUnstable,Neutral,Neutral,Neutral,SIG,Weak,XNIL,MoreThanAve,AB,None,VeryMoist,MovingFtorOt,Clear,Other,PC,Increasing,Neutral,Neutral,Neutral,Westerly,Steep,IncCapDecIns,Weak,May15_Jun14,N1GtLIGt_4,Down,None,None,None,DryMMoistL,WeakPos,LessUnstable,None,LowSHighN,PC,LVorOther,Slight,LessThanAve,B
Neutral,G,Wet,LittleChange,LongAnticyc,GJ,SIG,G,Dry,Increasing,Clear,Weak,OtherRapid,SIG,AllElse,ModerateOrLe,Weak,MoreUnstable,Neutral,Down,Neutral,SIG,Weak,XNIL,Average,CThruK,Weak,Dry,None,PC,None,Clear,Increasing,Dry,Neutral,Down,Other,CloseToDryAd,IncCapDecIns,Weak,Aug20_Sep15,LIGt0,Down,PartInhibit,None,None,Other,WeakPos,MoreUnstable,None,LowAtStation,Clear,LVorOther,Slight,LessThanAve,G
Instability,K,Neutral,SigPositive,SEQuad,ACEFK,SIG,K,VeryWet,Increasing,PC,Strong,StrongFront,SIG,AllElse,CloseToDryAd,Strong,MoreUnstable,Neutral,Neutral,Neutral,SIG,Strong,XNIL,MoreThanAve,CThruK,Strong,VeryMoist,DenvCyclone,Clear,Moving,PC,LittleChange,Neutral,Neutral,Neutral,StrongWest,CloseToDryAd,IncCapDecIns,Weak,Aug11_Aug20,N1GtLIGt_4,StrongUp,None,Marked,None,MoistMDryL,Negative,Average,Strong,Other,PC,Westerly,Moderate,Average,K
Stability,CDEJ,Wet,LittleChange,LV,ACEFK,SIG,E,Wet,Increasing,Clear,Strong,NoMajor,XNIL,SWQuad,Steep,None,LessUnstable,Wet,WeakUp,Neutral,XNIL,None,SIG,Average,CThruK,Strong,Average,None,PC,None,Clear,LittleChange,Neutral,WeakUp,WeakUp,Westerly,ModerateOrLe,IncCapDecIns,Moderate,Aug20_Sep15,LIGt0,Neutral,PartInhibit,Marked,PartInhibit,MoistMDryL,WeakPos,LessUnstable,Weak,LowNHighS,PC,Westerly,None,LessThanAve,E
Stability,CDEJ,Wet,PosToNeg,DenvCyclone,ACEFK,SIG,E,Dry,Decreasing,Clear,Strong,NoMajor,XNIL,AllElse,Steep,Strong,LessUnstable,Wet,Neutral,WeakUp,XNIL,Strong,SIG,MoreThanAve,CThruK,Strong,Average,E_W_N,Clear,None,PC,LittleChange,Wet,Down,Neutral,DCVZFavor,ModerateOrLe,DecCapIncIns,Weak,Aug20_Sep15,N1GtLIGt_4,StrongUp,Stifling,Marked,PartInhibit,MoistMDryL,WeakPos,LessUnstable,Strong,LowAtStation,Clear,Westerly,None,MoreThanAve,E
Stability,H,Wet,SigNegative,E_NE,HI,SVR,H,Wet,Increasing,PC,None,NoMajor,SVR,LV,Stable,Weak,Average,Wet,Down,WeakUp,SVR,Weak,XNIL,LessThanAve,CThruK,None,Dry,Other,PC,None,PC,LittleChange,Wet,Down,Down,DCVZFavor,ModerateOrLe,IncCapDecIns,Moderate,May15_Jun14,N5GtLIGt_8,WeakUp,PartInhibit,None,PartInhibit,DryMMoistL,Neutral,Average,None,HighEvrywher,Clear,LVorOther,Moderate,LessThanAve,H
Neutral,CDEJ,Dry,NegToPos,LV,D,SIG,D,Neutral,Increasing,PC,Strong,StrongFront,XNIL,AllElse,Steep,Strong,LessUnstable,Neutral,Neutral,StronUp,XNIL,Weak,SIG,MoreThanAve,CThruK,Strong,Average,None,PC,Other,PC,Decreasing,Neutral,Neutral,Neutral,Other,Steep,IncCapDecIns,Weak,Aug20_Sep15,N1GtLIGt_4,Neutral,Stifling,None,TotalInhibit,Other,Negative,Average,None,LowSHighN,PC,Westerly,None,Average,D
Neutral,ABI,VeryWet,SigNegative,SEQuad,ACEFK,SVR,A,VeryWet,Increasing,Clear,Strong,StrongFront,SVR,SWQuad,Steep,Strong,LessUnstable,Wet,Down,Down,SVR,Strong,SVR,Average,AB,Strong,Average,None,Clear,Other,Clear,Increasing,Dry,WeakUp,Down,StrongWest,ModerateOrLe,IncCapDecIns,Unfavorable,Jul16_Aug10,N1GtLIGt_4,Down,PartInhibit,Some,PartInhibit,DryMMoistL,Neutral,LessUnstable,Strong,HighEvrywher,Clear,LVorOther,None,Average,A
Neutral,CDEJ,Wet,SigPositive,LongAnticyc,ACEFK,XNIL,C,Neutral,LittleChange,Clear,None,NoMajor,XNIL,NWQuad,Steep,Weak,Average,VeryWet,StrongUp,Neutral,XNIL,None,XNIL,LessThanAve,CThruK,None,Average,DryLine,Clear,Moving,Clear,Decreasing,VeryWet,Down,StrongUp,StrongWest,CloseToDryAd,LittleChange,Strong,Aug11_Aug20,N1GtLIGt_4,StrongUp,PartInhibit,None,PartInhibit,Other,Negative,Average,None,Other,Clear,LVorOther,Strong,LessThanAve,C
Instability,ABI,Wet,PosToNeg,LV,B,SIG,B,Dry,Decreasing,PC,None,NoMajor,XNIL,AllElse,Steep,None,LessUnstable,VeryWet,Neutral,Neutral,XNIL,None,SIG,LessThanAve,AB,Weak,Average,DenvCyclone,Clear,QStationary,PC,Decreasing,Wet,Neutral,Neutral,Other,ModerateOrLe,DecCapIncIns,Moderate,Aug20_Sep15,N1GtLIGt_4,StrongUp,PartInhibit,None,PartInhibit,DryMMoistL,Negative,Average,None,LowNHighS,PC,Westerly,None,LessThanAve,B
Instability,ABI,Wet,NegToPos,E_NE,HI,SVR,I,VeryWet,Decreasing,Clear,Weak,OtherRapid,SVR,AllElse,ModerateOrLe,None,MoreUnstable,Wet,WeakUp,Neutral,SVR,None,XNIL,Average,CThruK,Weak,Average,E_W_S,Clear,QStationary,Clear,Increasing,Dry,StrongUp,WeakUp,Other,Steep,DecCapIncIns,Weak,May15_Jun14,LIGt0,Down,PartInhibit,None,PartInhibit,DryMMoistL,StrongPos,LessUnstable,None,LowSHighN,Clear,Westerly,Slight,Average,I
Stability,CDEJ,Dry,SigPositive,WidespdDnsl,ACEFK,XNIL,E,Dry,Increasing,PC,None,NoMajor,XNIL,SWQuad,CloseToDryAd,None,MoreUnstable,Dry,Down,Down,XNIL,Weak,XNIL,LessThanAve,CThruK,Weak,Dry,None,Cloudy,None,Clear,LittleChange,Wet,Neutral,Down,Other,ModerateOrLe,IncCapDecIns,Weak,Jul16_Aug10,N1GtLIGt_4,Down,None,None,TotalInhibit,MoistMDryL,Neutral,Average,None,HighEvrywher,PC,Westerly,None,LessThanAve,E
Neutral,K,Dry,SigPositive,SEQuad,ACEFK,SIG,K,Neutral,Increasing,PC,None,MarkedUpper,SIG,SWQuad,Stable,Strong,MoreUnstable,Dry,WeakUp,Neutral,SIG,Strong,XNIL,Average,CThruK,None,VeryMoist,E_W_S,Cloudy,Moving,Clear,Increasing,Neutral,Neutral,WeakUp,Westerly,ModerateOrLe,IncCapDecIns,Strong,May15_Jun14,LILt_8,StrongUp,PartInhibit,None,None,Other,WeakPos,MoreUnstable,None,Other,PC,Westerly,Strong,Average,K
Instability,K,VeryWet,SigNegative,LV,ACEFK,SVR,K,Wet,Decreasing,Clear,Strong,MarkedUpper,SVR,AllElse,Steep,Strong,MoreUnstable,VeryWet,WeakUp,Neutral,SVR,None,XNIL,Average,CThruK,Strong,Average,None,PC,QStationary,PC,Decreasing,VeryWet,Neutral,WeakUp,Westerly,Steep,DecCapIncIns,Moderate,May15_Jun14,N5GtLIGt_8,StrongUp,PartInhibit,Marked,TotalInhibit,DryMMoistL,Negative,MoreUnstable,Weak,Other,PC,LVorOther,Slight,Average,K
Stability,CDEJ,Neutral,LittleChange,E_NE,GJ,SIG,J,Neutral,LittleChange,PC,Strong,NoMajor,XNIL,LV,Steep,Weak,LessUnstable,Neutral,WeakUp,StronUp,XNIL,Weak,SIG,LessThanAve,CThruK,Strong,Dry,DryLine,Clear,None,PC,Decreasing,Neutral,Neutral,WeakUp,Westerly,ModerateOrLe,LittleChange,Weak,Jul2_Jul15,N1GtLIGt_4,Neutral,PartInhibit,Marked,PartInhibit,MoistMDryL,Negative,LessUnstable,Strong,LowMtsHighPl,Clear,LVorOther,None,LessThanAve,J
Instability,K,VeryWet,SigNegative,WidespdDnsl,ACEFK,XNIL,K,VeryWet,Increasing,Cloudy,None,StrongFront,XNIL,AllElse,Stable,Weak,MoreUnstable,Wet,Neutral,StronUp,XNIL,Strong,XNIL,MoreThanAve,CThruK,None,Dry,E_W_S,Cloudy,None,PC,Increasing,Wet,Neutral,Neutral,Other,Steep,IncCapDecIns,Moderate,Jul2_Jul15,N1GtLIGt_4,Down,PartInhibit,None,PartInhibit,DryMMoistL,Neutral,MoreUnstable,None,HighEvrywher,Cloudy,Westerly,None,Average,K
Instability,K,Neutral,SigPositive,LongAnticyc,ACEFK,SIG,K,Neutral,Increasing,PC,Weak,MarkedUpper,SIG,AllElse,ModerateOrLe,Weak,MoreUnstable,Neutral,WeakUp,Neutral,SIG,None,SIG,MoreThanAve,CThruK,Strong,Dry,Other,PC,None,PC,LittleChange,Neutral,WeakUp,WeakUp,StrongWest,ModerateOrLe,IncCapDecIns,Strong,Jul16_Aug10,N1GtLIGt_4,WeakUp,PartInhibit,Some,None,Other,Neutral,MoreUnstable,Strong,LowNHighS,PC,Westerly,Strong,Average,K
Instability,F,Neutral,LittleChange,DenvCyclone,ACEFK,SVR,F,Wet,LittleChange,Clear,Strong,NoMajor,XNIL,LV,Stable,Weak,MoreUnstable,Neutral,Neutral,WeakUp,XNIL,None,SVR,Average,CThruK,Strong,VeryMoist,None,Clear,None,PC,LittleChange,Neutral,Neutral,Neutral,StrongWest,Steep,LittleChange,Moderate,Aug20_Sep15,N5GtLIGt_8,Down,PartInhibit,Marked,Stifling,Other,WeakPos,MoreUnstable,Weak,HighEvrywher,Clear,Westerly,Slight,Average,F
Instability,CDEJ,Wet,SigPositive,LV,ACEFK,SIG,E,Neutral,LittleChange,Clear,Strong,NoMajor,XNIL,AllElse,Steep,Strong,MoreUnstable,Neutral,Neutral,Neutral,XNIL,None,SIG,Average,CThruK,Strong,Average,DenvCyclone,Clear,None,Clear,Increasing,Dry,StrongUp,Neutral,StrongWest,Steep,LittleChange,Weak,Aug11_Aug20,N5GtLIGt_8,StrongUp,Stifling,Marked,TotalInhibit,MoistMDryL,WeakPos,Average,Strong,LowNHighS,Clear,Westerly,None,Average,E
Instability,ABI,Wet,SigNegative,DenvCyclone,B,SVR,B,VeryWet,LittleChange,Clear,Strong,NoMajor,SIG,AllElse,Stable,Weak,MoreUnstable,VeryWet,StrongUp,Down,SIG,Weak,SVR,LessThanAve,AB,Strong,Average,DenvCyclone,Clear,None,Clear,LittleChange,Neutral,Neutral,StrongUp,Westerly,Steep,LittleChange,Weak,Jul2_Jul15,N1GtLIGt_4,StrongUp,PartInhibit,Some,PartInhibit,Other,Neutral,Average,Strong,HighEvrywher,PC,LVorOther,Slight,Average,B
Stability,CDEJ,Neutral,LittleChange,DenvCyclone,ACEFK,SIG,E,Dry,LittleChange,Clear,Strong,OtherRapid,XNIL,AllElse,CloseToDryAd,Strong,MoreUnstable,Neutral,WeakUp,WeakUp,XNIL,None,SIG,Average,CThruK,Strong,Average,MovingFtorOt,Cloudy,None,Clear,Increasing,Dry,Down,WeakUp,DCVZFavor,Steep,LittleChange,Strong,Jul2_Jul15,N1GtLIGt_4,Neutral,PartInhibit,Some,PartInhibit,MoistMDryL,StrongPos,MoreUnstable,Strong,LowAtStation,PC,Westerly,Strong,Average,E
Stability,CDEJ,Wet,SigPositive,LongAnticyc,ACEFK,SIG,C,Neutral,Increasing,PC,Strong,NoMajor,XNIL,NWQuad,CloseToDryAd,Strong,LessUnstable,Dry,Down,Down,XNIL,Strong,SIG,MoreThanAve,CThruK,Strong,Average,E_W_N,PC,QStationary,PC,LittleChange,VeryWet,Down,Down,Other,Steep,IncCapDecIns,Moderate,Aug11_Aug20,N1GtLIGt_4,Neutral,TotalInhibit,Marked,PartInhibit,Other,WeakPos,LessUnstable,None,LowNHighS,Clear,Westerly,None,MoreThanAve,C
Instability,G,Neutral,SigNegative,LongAnticyc,GJ,SIG,G,Dry,LittleChange,Clear,None,NoMajor,XNIL,AllElse,CloseToDryAd,Weak,MoreUnstable,Neutral,Neutral,Neutral,XNIL,None,SIG,MoreThanAve,CThruK,Weak,Dry,DryLine,Clear,None,PC,LittleChange,Dry,WeakUp,Neutral,DCVZFavor,CloseToDryAd,LittleChange,Weak,May15_Jun14,N1GtLIGt_4,StrongUp,Stifling,None,Stifling,Other,WeakPos,MoreUnstable,None,LowEvrywhere,Clear,Westerly,Slight,MoreThanAve,G
Instability,ABI,Wet,LittleChange,SEQuad,B,SIG,B,Neutral,Increasing,Cloudy,Weak,NoMajor,SIG,SWQuad,ModerateOrLe,Strong,LessUnstable,Wet,Down,Neutral,SIG,None,SIG,LessThanAve,AB,Weak,VeryMoist,E_W_S,Clear,QStationary,PC,LittleChange,Wet,Down,Down,StrongWest,Steep,IncCapDecIns,Weak,Jul2_Jul15,LIGt0,Down,PartInhibit,Some,None,Other,Neutral,LessUnstable,Strong,LowMtsHighPl,Cloudy,Westerly,Slight,LessThanAve,B
Stability,ABI,Wet,PosToNeg,DenvCyclone,B,SIG,B,Neutral,Increasing,Cloudy,Weak,NoMajor,XNIL,NWQuad,Steep,None,LessUnstable,Wet,StrongUp,StronUp,XNIL,None,SIG,MoreThanAve,AB,Weak,Average,E_W_S,Clear,QStationary,Cloudy,LittleChange,VeryWet,StrongUp,StrongUp,Other,ModerateOrLe,IncCapDecIns,Weak,May15_Jun14,N1GtLIGt_4,StrongUp,Stifling,None,None,DryMMoistL,WeakPos,LessUnstable,Weak,Other,Cloudy,Westerly,Slight,MoreThanAve,B
Instability,CDEJ,VeryWet,LittleChange,LV,GJ,SIG,J,VeryWet,Decreasing,PC,Strong,NoMajor,XNIL,LV,Stable,Weak,MoreUnstable,VeryWet,WeakUp,StronUp,XNIL,Weak,SIG,LessThanAve,CThruK,Strong,Average,DryLine,PC,None,PC,Increasing,Wet,StrongUp,WeakUp,DCVZFavor,ModerateOrLe,DecCapIncIns,Strong,Aug20_Sep15,LIGt0,Down,PartInhibit,Marked,Stifling,MoistMDryL,Neutral,LessUnstable,Strong,LowEvrywhere,Cloudy,LVorOther,None,MoreThanAve,J
Instability,ABI,VeryWet,PosToNeg,SEQuad,B,XNIL,B,Neutral,LittleChange,Clear,Weak,NoMajor,SIG,LV,Steep,Weak,LessUnstable,VeryWet,WeakUp,StronUp,XNIL,None,XNIL,Average,AB,Strong,Average,DenvCyclone,PC,Moving,Clear,Decreasing,Dry,Neutral,WeakUp,DCVZFavor,Steep,LittleChange,Weak,May15_Jun14,N1GtLIGt_4,WeakUp,Stifling,Some,PartInhibit,Other,Negative,LessUnstable,Strong,HighEvrywher,Clear,Westerly,None,Average,B
Instability,K,Wet,NegToPos,SEQuad,ACEFK,SVR,K,Neutral,Increasing,Clear,None,MarkedUpper,SIG,SWQuad,Steep,Weak,MoreUnstable,Neutral,Down,Neutral,SVR,None,XNIL,Average,CThruK,None,Dry,E_W_N,Clear,None,PC,Increasing,Wet,Down,Down,DCVZFavor,ModerateOrLe,IncCapDecIns,Moderate,Jun15_Jul1,LILt_8,Neutral,PartInhibit,None,None,DryMMoistL,StrongPos,MoreUnstable,None,HighEvrywher,Clear,LVorOther,Moderate,LessThanAve,K
Neutral,CDEJ,Wet,LittleChange,LongAnticyc,GJ,SIG,J,Neutral,LittleChange,Cloudy,Weak,NoMajor,XNIL,LV,CloseToDryAd,Weak,Average,VeryWet,Neutral,Down,SIG,None,XNIL,LessThanAve,CThruK,Weak,Dry,None,PC,Moving,Clear,LittleChange,Neutral,Neutral,Neutral,Westerly,ModerateOrLe,LittleChange,Unfavorable,Aug11_Aug20,N1GtLIGt_4,Neutral,PartInhibit,Some,None,DryMMoistL,WeakPos,Average,Weak,LowEvrywhere,Cloudy,LVorOther,None,LessThanAve,J
Stability,ABI,Wet,LittleChange,DenvCyclone,B,SIG,B,Neutral,Increasing,PC,Weak,NoMajor,SIG,AllElse,Steep,Weak,Average,Wet,Neutral,WeakUp,SIG,None,SIG,Average,AB,Strong,Dry,DenvCyclone,PC,None,Clear,Increasing,Dry,WeakUp,Neutral,Other,Steep,IncCapDecIns,Weak,Jul16_Aug10,N1GtLIGt_4,Down,PartInhibit,Some,None,DryMMoistL,WeakPos,LessUnstable,Weak,LowMtsHighPl,PC,Westerly,Strong,Average,B
Instability,CDEJ,Dry,SigPositive,LV,ACEFK,SIG,C,Neutral,Decreasing,Clear,Strong,MarkedUpper,XNIL,SWQuad,Steep,Weak,LessUnstable,Wet,StrongUp,WeakUp,XNIL,None,SIG,Average,CThruK,Strong,Dry,E_W_N,Clear,Moving,Clear,Decreasing,Neutral,StrongUp,StrongUp,DCVZFavor,Steep,DecCapIncIns,Moderate,Aug11_Aug20,N1GtLIGt_4,StrongUp,Stifling,Marked,PartInhibit,Other,Negative,LessUnstable,Weak,HighEvrywher,PC,Westerly,Slight,MoreThanAve,C
